PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Kawhi Leonard,LAC,32,2,1,1,40.2,34.5,12.0,22.0,54.5,3.0,5.0,60.0,7.5,8.5,88.2,1.5,5.0,6.5,6.0,3.0,2.0,0.5,2.5,55.8,0.0,0.0,-3.5
Devin Booker,PHX,26,11,6,5,41.7,33.7,12.8,21.9,58.5,2.8,5.5,50.8,5.3,6.1,86.6,1.1,3.7,4.8,7.2,2.9,1.7,0.8,3.4,55.0,2.0,0.0,-3.4
Anthony Edwards,MIN,21,5,1,4,39.7,31.6,11.0,22.8,48.2,3.0,8.6,34.9,6.6,7.8,84.6,0.6,4.4,5.0,5.2,1.6,1.8,2.0,2.6,55.2,0.0,0.0,-3.0
Stephen Curry,GSW,35,13,6,7,37.9,30.5,11.2,23.9,46.6,4.4,12.1,36.3,3.8,4.5,84.5,0.7,4.5,5.2,6.1,3.2,1.0,0.5,2.6,46.9,2.0,1.0,3.6
Nikola Jokic,DEN,28,20,16,4,39.4,30.0,11.4,20.7,54.8,1.8,3.8,46.1,5.6,7.0,79.9,3.5,10.0,13.5,9.5,3.5,1.1,1.0,3.5,63.0,18.0,10.0,8.5
Trae Young,ATL,24,6,2,4,38.3,29.2,10.0,24.8,40.3,3.0,9.0,33.3,6.2,7.2,86.0,0.8,2.8,3.7,10.2,4.0,1.7,0.7,1.8,51.8,3.0,0.0,-6.2
Kevin Durant,PHX,34,11,6,5,42.3,29.0,9.7,20.4,47.8,1.5,4.6,33.3,8.0,8.7,91.7,0.6,8.1,8.7,5.5,3.5,0.8,1.4,2.6,50.8,5.0,0.0,-0.5
Jalen Brunson,NYK,26,11,6,5,40.3,27.8,9.9,20.9,47.4,2.4,7.3,32.5,5.6,6.2,91.2,0.8,4.1,4.9,5.6,2.1,1.5,0.1,2.4,44.7,1.0,0.0,3.4
De'Aaron Fox,SAC,25,7,3,4,38.5,27.4,10.0,23.6,42.4,3.0,9.0,33.3,4.4,5.9,75.6,1.7,3.7,5.4,7.7,4.0,2.1,0.6,3.3,49.7,1.0,0.0,-2.9
Jayson Tatum,BOS,25,20,11,9,40.0,27.2,9.3,20.2,45.8,2.7,8.2,32.3,6.0,6.9,87.6,1.3,9.2,10.5,5.3,2.8,1.1,1.1,2.2,51.1,15.0,0.0,4.0
Jimmy Butler,MIA,33,22,13,9,39.7,26.9,9.4,20.1,46.8,1.3,3.5,35.9,6.8,8.5,80.6,2.1,4.3,6.5,5.9,1.9,1.8,0.6,1.7,49.0,4.0,0.0,-0.5
Jamal Murray,DEN,26,20,16,4,39.9,26.1,9.7,20.5,47.3,3.0,7.5,39.6,3.8,4.1,92.6,0.8,4.9,5.7,7.1,2.5,1.5,0.3,2.1,46.3,5.0,1.0,9.1
Ja Morant,MEM,23,5,1,4,37.4,24.6,9.0,21.2,42.5,2.6,6.2,41.9,4.0,5.2,76.9,1.6,5.2,6.8,7.0,3.4,1.8,0.2,2.4,45.9,2.0,0.0,-3.2
LeBron James,LAL,38,16,8,8,38.7,24.5,9.2,18.4,49.8,1.8,6.6,26.4,4.4,5.8,76.1,1.6,8.3,9.9,6.5,2.5,1.1,1.1,1.8,50.2,9.0,0.0,0.8
Khris Middleton,MIL,31,5,1,4,34.6,23.8,8.0,17.2,46.5,2.6,6.4,40.6,5.2,6.0,86.7,1.4,5.0,6.4,6.2,3.4,0.6,0.0,3.0,39.2,0.0,0.0,2.6
Joel Embiid,PHI,29,9,5,4,37.4,23.7,7.3,17.0,43.1,0.6,3.1,17.9,8.4,9.3,90.5,1.8,8.0,9.8,2.7,3.9,0.7,2.8,3.0,45.8,5.0,0.0,-0.7
Russell Westbrook,LAC,34,5,1,4,38.5,23.6,8.6,21.0,41.0,2.0,5.6,35.7,4.4,5.0,88.0,1.8,5.8,7.6,7.4,4.0,1.2,1.4,3.0,47.6,1.0,0.0,-5.4
Desmond Bane,MEM,25,6,2,4,38.6,23.5,8.2,19.3,42.2,2.7,8.3,32.0,4.5,4.8,93.1,1.2,4.8,6.0,3.2,2.8,0.5,0.0,3.2,34.1,1.0,0.0,-5.3
Mikal Bridges,BKN,26,4,0,4,39.4,23.5,8.3,19.3,42.9,2.5,6.3,40.0,4.5,5.8,78.3,0.5,4.8,5.3,4.0,2.0,0.5,0.5,1.3,36.8,0.0,0.0,-11.3
Giannis Antetokounmpo,MIL,28,3,0,3,30.5,23.3,9.3,17.7,52.8,0.0,1.0,0.0,4.7,10.3,45.2,2.7,8.3,11.0,5.3,4.7,0.3,0.7,3.0,42.9,2.0,1.0,-5.3
